date,region,value
2022-03,부산,49356
2022-03,대구,39164
2022-03,인천,32285
2022-03,광주,12356
2022-03,대전,16643
2022-03,울산,14558
2022-03,세종,7921
2022-03,경기,143172
2022-03,강원,11218
2022-03,충북,13052
2022-03,충남,21354
2022-03,전북,11041
2022-03,전남,8085
2022-03,경북,16698
2022-03,경남,29891
2022-03,제주,1295
2022-04,전국,544476
2022-04,서울,97388
2022-04,부산,51202
2022-04,대구,41567
2022-04,인천,34777
2022-04,광주,13997
2022-04,대전,17128
2022-04,울산,14813
2022-04,세종,8252
2022-04,경기,152609
2022-04,강원,11179
2022-04,충북,12681
2022-04,충남,21751
2022-04,전북,11431
2022-04,전남,8093
2022-04,경북,16464
2022-04,경남,29837
2022-04,제주,1307
2022-05,전국,574165
2022-05,서울,102630
2022-05,부산,55365
2022-05,대구,43307
2022-05,인천,37946
2022-05,광주,15557
2022-05,대전,18025
2022-05,울산,15176
2022-05,세종,8522
2022-05,경기,163652
2022-05,강원,11258
2022-05,충북,12864
2022-05,충남,22235
2022-05,전북,11763
2022-05,전남,8071
2022-05,경북,16699
2022-05,경남,29882
2022-05,제주,1213
2022-06,전국,608439
2022-06,서울,110137
2022-06,부산,58486
2022-06,대구,45029
2022-06,인천,40573
2022-06,광주,16740
2022-06,대전,18645
2022-06,울산,15762
2022-06,세종,8633
2022-06,경기,176115
2022-06,강원,11657
2022-06,충북,13142
2022-06,충남,22861
2022-06,전북,12431
2022-06,전남,8421
2022-06,경북,17417
2022-06,경남,31100
2022-06,제주,1290
2022-07,전국,629801
2022-07,서울,114543
2022-07,부산,60772
2022-07,대구,47196
2022-07,인천,41890
2022-07,광주,17369
2022-07,대전,18962
2022-07,울산,16015
2022-07,세종,8730
2022-07,경기,183550
2022-07,강원,11782
2022-07,충북,13513
2022-07,충남,23235
2022-07,전북,12871
2022-07,전남,8661
2022-07,경북,18071
2022-07,경남,31269
2022-07,제주,1372
2022-08,전국,652560
2022-08,서울,117843
2022-08,부산,63091
2022-08,대구,49022
2022-08,인천,42965
2022-08,광주,18733
2022-08,대전,19036
2022-08,울산,16229
2022-08,세종,9020
2022-08,경기,190761
2022-08,강원,12287
2022-08,충북,13803
2022-08,충남,24182
2022-08,전북,13952
2022-08,전남,9276
2022-08,경북,18801
2022-08,경남,32031
2022-08,제주,1528
2022-09,전국,685212
2022-09,서울,124762
2022-09,부산,66228
2022-09,대구,50461
2022-09,인천,45191
2022-09,광주,19709
2022-09,대전,19726
2022-09,울산,16761
2022-09,세종,9233
2022-09,경기,200667
2022-09,강원,13079
2022-09,충북,14528
2022-09,충남,25332
2022-09,전북,15222
2022-09,전남,9636
2022-09,경북,19539
2022-09,경남,33439
2022-09,제주,1699
2022-10,전국,702578
2022-10,서울,130752
2022-10,부산,67769
2022-10,대구,50608
2022-10,인천,46007
2022-10,광주,19853
2022-10,대전,19774
2022-10,울산,17136
2022-10,세종,9401
2022-10,경기,205211
2022-10,강원,13649
2022-10,충북,15116
2022-10,충남,26010
2022-10,전북,15678
2022-10,전남,9694
2022-10,경북,20165
2022-10,경남,33885
2022-10,제주,1870
2022-11,전국,736029
2022-11,서울,138410
2022-11,부산,71414
2022-11,대구,52393
2022-11,인천,48290
2022-11,광주,20755
2022-11,대전,20772
2022-11,울산,17968
2022-11,세종,9624
2022-11,경기,213259
2022-11,강원,14903
2022-11,충북,15721
2022-11,충남,27532
2022-11,전북,16972
2022-11,전남,9700
2022-11,경북,21103
2022-11,경남,35043
2022-11,제주,2170
2022-12,전국,718279
2022-12,서울,136788
2022-12,부산,69694
2022-12,대구,50874
2022-12,인천,47964
2022-12,광주,20016
2022-12,대전,19974
2022-12,울산,17380
2022-12,세종,9420
2022-12,경기,206190
2022-12,강원,14896
2022-12,충북,15305
2022-12,충남,27099
2022-12,전북,16615
2022-12,전남,9687
2022-12,경북,20664
2022-12,경남,33551
2022-12,제주,2162
2023-01,전국,700456
2023-01,서울,132211
2023-01,부산,67949
2023-01,대구,50418
2023-01,인천,46961
2023-01,광주,19806
2023-01,대전,19254
2023-01,울산,17213
2023-01,세종,8814
2023-01,경기,199428
2023-01,강원,14880
2023-01,충북,15012
2023-01,충남,26503
2023-01,전북,16778
2023-01,전남,9181
2023-01,경북,20614
2023-01,경남,33231
2023-01,제주,2203
2023-02,전국,713753
2023-02,서울,134089
2023-02,부산,69756
2023-02,대구,51946
2023-02,인천,47275
2023-02,광주,20478
2023-02,대전,19262
2023-02,울산,17711
2023-02,세종,8493
2023-02,경기,202228
2023-02,강원,15578
2023-02,충북,15035
2023-02,충남,26864
2023-02,전북,17478
2023-02,전남,9539
2023-02,경북,21344
2023-02,경남,34319
2023-02,제주,2358
2023-03,전국,710064
2023-03,서울,130584
2023-03,부산,69753
2023-03,대구,52492
2023-03,인천,47549
2023-03,광주,20231
2023-03,대전,18802
2023-03,울산,18153
2023-03,세종,8398
2023-03,경기,200412
2023-03,강원,15578
2023-03,충북,15227
2023-03,충남,26676
2023-03,전북,17402
2023-03,전남,9262
2023-03,경북,21947
2023-03,경남,35080
2023-03,제주,2518
2023-04,전국,698285
2023-04,서울,128127
2023-04,부산,69131
2023-04,대구,52206
2023-04,인천,47320
2023-04,광주,19847
2023-04,대전,17985
2023-04,울산,18447
2023-04,세종,8152
2023-04,경기,193085
2023-04,강원,15711
2023-04,충북,14985
2023-04,충남,27223
2023-04,전북,17297
2023-04,전남,8997
2023-04,경북,22094
2023-04,경남,35054
2023-04,제주,2624
2023-05,전국,687874
2023-05,서울,123589
2023-05,부산,68691
2023-05,대구,52217
2023-05,인천,46568
2023-05,광주,19966
2023-05,대전,17599
2023-05,울산,18301
2023-05,세종,7861
2023-05,경기,188641
2023-05,강원,15666
2023-05,충북,15363
2023-05,충남,27482
2023-05,전북,17165
2023-05,전남,9056
2023-05,경북,22035
2023-05,경남,35041
2023-05,제주,2633
2023-06,전국,677326
2023-06,서울,121930
2023-06,부산,68611
2023-06,대구,51017
2023-06,인천,45659
2023-06,광주,19742
2023-06,대전,17197
2023-06,울산,17958
2023-06,세종,7889
2023-06,경기,184424
2023-06,강원,15340
2023-06,충북,15249
2023-06,충남,27671
2023-06,전북,16399
2023-06,전남,8871
2023-06,경북,21904
2023-06,경남,34748
2023-06,제주,2717
2023-07,전국,651413
2023-07,서울,117570
2023-07,부산,66719
2023-07,대구,49579
2023-07,인천,42914
2023-07,광주,19141
2023-07,대전,16379
2023-07,울산,17143
2023-07,세종,7944
2023-07,경기,177258
2023-07,강원,14692
2023-07,충북,14268
2023-07,충남,26346
2023-07,전북,15336
2023-07,전남,8401
2023-07,경북,21373
2023-07,경남,33885
2023-07,제주,2465
2023-08,전국,671962
2023-08,서울,121196
2023-08,부산,69333
2023-08,대구,50776
2023-08,인천,44213
2023-08,광주,20579
2023-08,대전,16601
2023-08,울산,17898
2023-08,세종,8427
2023-08,경기,179729
2023-08,강원,15200
2023-08,충북,14733
2023-08,충남,27528
2023-08,전북,16043
2023-08,전남,8884
2023-08,경북,22398
2023-08,경남,35868
2023-08,제주,2556
2023-09,전국,669872
2023-09,서울,121902
2023-09,부산,68929
2023-09,대구,50946
2023-09,인천,43327
2023-09,광주,20743
2023-09,대전,16926
2023-09,울산,17558
2023-09,세종,8798
2023-09,경기,178381
2023-09,강원,15279
2023-09,충북,14424
2023-09,충남,27349
2023-09,전북,15756
2023-09,전남,8944
2023-09,경북,22454
2023-09,경남,35575
2023-09,제주,2581
2023-10,전국,736358
2023-10,서울,130859
2023-10,부산,74885
2023-10,대구,55375
2023-10,인천,47340
2023-10,광주,23116
2023-10,대전,18732
2023-10,울산,18858
2023-10,세종,10142
2023-10,경기,198540
2023-10,강원,16901
2023-10,충북,15718
2023-10,충남,30476
2023-10,전북,17839
2023-10,전남,9948
2023-10,경북,24943
2023-10,경남,39701
2023-10,제주,2985
2023-11,전국,753305
2023-11,서울,135190
2023-11,부산,75894
2023-11,대구,55767
2023-11,인천,47448
2023-11,광주,23903
2023-11,대전,19112
2023-11,울산,19188
2023-11,세종,11132
2023-11,경기,204400
2023-11,강원,17196
2023-11,충북,15991
2023-11,충남,31643
2023-11,전북,17887
2023-11,전남,10118
2023-11,경북,25245
2023-11,경남,40189
2023-11,제주,3002
2023-12,전국,735215
2023-12,서울,130063
2023-12,부산,73789
2023-12,대구,54840
2023-12,인천,45872
2023-12,광주,24400
2023-12,대전,19311
2023-12,울산,18484
2023-12,세종,11257
2023-12,경기,200161
2023-12,강원,17121
2023-12,충북,15810
2023-12,충남,31305
2023-12,전북,17101
2023-12,전남,9811
2023-12,경북,24433
2023-12,경남,38473
2023-12,제주,2984
2024-01,전국,755966
2024-01,서울,131951
2024-01,부산,75373
2024-01,대구,56558
2024-01,인천,47103
2024-01,광주,25487
2024-01,대전,20429
2024-01,울산,18497
2024-01,세종,11596
2024-01,경기,205589
2024-01,강원,17810
2024-01,충북,17171
2024-01,충남,32240
2024-01,전북,17585
2024-01,전남,10122
2024-01,경북,25515
2024-01,경남,39847
2024-01,제주,3093
2024-02,전국,760477
2024-02,서울,130914
2024-02,부산,74865
2024-02,대구,57190
2024-02,인천,47167
2024-02,광주,26153
2024-02,대전,20901
2024-02,울산,18129
2024-02,세종,11599
2024-02,경기,208358
2024-02,강원,18192
2024-02,충북,17650
2024-02,충남,31866
2024-02,전북,17553
2024-02,전남,10214
2024-02,경북,26114
2024-02,경남,40461
2024-02,제주,3151
2024-03,전국,761132
2024-03,서울,132235
2024-03,부산,74077
